rank,result
400,02:45:46
401,02:45:46
402,02:45:49
403,02:45:49
404,02:45:51
405,02:45:53
406,02:45:58
407,02:45:58
408,02:45:58
409,02:45:59
410,02:46:00
411,02:46:01
412,02:46:05
413,02:46:05
414,02:46:10
415,02:46:14
416,02:46:15
417,02:46:16
418,02:46:16
419,02:46:22
420,02:46:23
421,02:46:24
422,02:46:24
423,02:46:26
424,02:46:29
425,02:46:29
426,02:46:31
427,02:46:32
428,02:46:33
429,02:46:34
430,02:46:34
431,02:46:34
432,02:46:34
433,02:46:37
434,02:46:39
435,02:46:40
436,02:46:40
437,02:46:41
438,02:46:42
439,02:46:43
440,02:46:45
441,02:46:45
442,02:46:47
443,02:46:47
444,02:46:50
445,02:46:51
446,02:46:51
447,02:46:51
448,02:46:52
449,02:46:53
450,02:46:55
451,02:46:56
452,02:46:59
453,02:46:59
454,02:46:59
455,02:47:01
456,02:47:02
457,02:47:02
458,02:47:05
459,02:47:08
460,02:47:09
461,02:47:09
462,02:47:11
463,02:47:11
464,02:47:12
465,02:47:14
466,02:47:14
467,02:47:15
468,02:47:15
469,02:47:17
470,02:47:20
471,02:47:22
472,02:47:22
473,02:47:22
474,02:47:22
475,02:47:23
476,02:47:25
477,02:47:26
478,02:47:27
479,02:47:29
480,02:47:30
481,02:47:30
482,02:47:32
483,02:47:33
484,02:47:33
485,02:47:35
486,02:47:36
487,02:47:36
488,02:47:37
489,02:47:37
490,02:47:39
491,02:47:39
492,02:47:40
493,02:47:40
494,02:47:40
495,02:47:40
496,02:47:41
497,02:47:43
498,02:47:44
499,02:47:44
500,02:47:45
501,02:47:46
502,02:47:47
503,02:47:48
504,02:47:48
505,02:47:50
506,02:47:51
507,02:47:51
508,02:47:52
509,02:47:54
510,02:47:55
511,02:47:56
512,02:47:58
513,02:47:59
514,02:48:02
515,02:48:03
516,02:48:03
517,02:48:03
518,02:48:06
519,02:48:08
520,02:48:09
521,02:48:09
522,02:48:10
523,02:48:10
524,02:48:14
525,02:48:15
526,02:48:15
527,02:48:17
528,02:48:18
529,02:48:20
530,02:48:24
531,02:48:26
532,02:48:27
